"TYPE","COMMENT"
"Valuable","I have heard about many professors in the engineering department who are unorganised with the material, give ridiculously hard exams etc that make their course unbearable. Sergey is not one of these professors. He knows how to structure this class, teaches exactly what needs to be taught, and provides ample practice for the exams, which are based off of these practice problems. Its easy to take this class for granted early on in the semester, which is the worst thing you could do. Because if done right, and you listen to his lectures, you don't actually need to do much more. None of the concepts in Circuit analysis seem especially complicated and even if you do, just go to his office hours."
"Valuable","It was interesting to learn about circuits in a more thorough manner, however the lack of grading and feedback from the professor and TA led to me being unsure whether I actually learned the topics correctly or if I was even correctly doing the problems correctly. The professor as a person is nice and is willing to answer questions, but when the whole class is lost and he just keeps on lecturing no one is going to understand the topic completely and it discourages students from attending lectures (this was notable as less and less people showed up to lectures towards the end of the semester)."
"Valuable","This professors lectures were amazing . They were very detailed . They explained concepts very thoroughly . They were super informative. Durring the lectures the professor tried to interact with the students to further clarify anything that was confusing . This professor can teach very well which is evident through the lectures . The final review lecture and lectures notes were very helpful and very detailed as well. They helped students prepare for the final well, and was extremely useful for studying."
"Valuable","I liked the application of math and the material is very interesting as understanding and analyzing a circuit is the basis of electrical engineering. Although I was not able to attend myself I was told the office hours with the Professor were very good and really helped the students who attended to do well."
"Valuable","The professor teaches a lot of extra material which will be helpful for future classes. He teaches all the important elements of circuit analysis and is very helpful during office hours. He is also a very fair grader and is willing to bump up your grade if you show that you do understand the material."
"Valuable","Solving problems during lecture was great help as well as techniques used to solve problems more efficiently. Past exam examples and hw were well rounded material covered wise and were great help for preparing for tests."
"Valuable","I thought that this course served as a good introduction into circuits. It was valuable in that it was taught on a basic level and helped me to understand a topic that I was not sure if I was interested in."
"Valuable","Nothing much for my major as it focuses more on Biology and engineering. I don't see the applications of what I learned in this class in my career looking forwards but I'm sure it'll be useful eventually."
"Valuable","The course material was really interesting to me, I don't know how much concepts will reappear in my undergraduate study/later in life, but I enjoyed the course."
"Valuable","Maksim, you are a great TA and your devotion to us and the class was awesome. You clearly know your stuff and made learning the material much easier. Thank you."
"Valuable","Was a good introduction to circuit analysis. Helped see practical aspects to laplace transforms. TA and instructor were very helpful in office hours."
"Valuable","Clear instructions for systematically approaching problems. Not even online instructions are as clear which is rare."
"Valuable","Professor Suchalkin is really helpful at office hours. He takes the time to explain everything carefully."
"Valuable","The instructor knows the material well and lecture slides/homework convey the material well."
"Valuable","The lecture notes were very informative and the instructor explained them well."
"Valuable","Different techniques of solving linear circuits, applicable in many situations"
"Valuable","Very generous professor, clarify things at office hours"
"Valuable","Learning circuit analysis for future applications"
"Valuable","The content taught"
"Valuable","Circuit analysis"
"Valuable","Circuit analysis"
"Valuable","homeworks"
"Valuable","Nothing"
"Valuable","N/A"
"Valuable","no"
"Needs Improvement","Feedback, feedback, feedback, every semester this is the main problem that students complained about in previous semester and it still has not changed. As of writing this, there are only two weeks left of classes, and we just got back our second midterm grade (graded by professor) which was about a month ago and the second homework grade (graded by TA) only some weeks ago when we had submitted it over two months ago. NOTE : We did not get the actual papers back, only just a random number appearing on blackboard. How am I supposed to improve, or know if I am learning the content from the course thoroughly if we aren't given thorough time to see our papers, or if we aren't given our homework back to be able to study from our mistakes? 
This is the first class where I have received ZERO of my work back that I have submitted.

Also a complaint that still holds to this semester, the content just gets more confusing and as a result,  without feedback we are not able to improve or try and get better at each topic. About the professor's slides, they just appear to be reused from previous years and he mainly reads off of them. If you can understand him (the professor holds the microphone way to close to his mouth and it sounds muffled even to this day), I can follow what he says but if I were to try and apply concepts it would not hold up.

As a person who attended this class every single day, it was not worth it at all with how the class was run.

It is unfortunate, I thought this class would be an important class to me as an Electrical Engineer but it turned out to be one of my worst classes of the semester and one of the worst I have taken at Stony Brook."
